漢字	音読み	訓読み	画数	部首	異体字	れい	例	
潮	チョウ	しお	15	氵,さんずい		ちょうりゅう、しおどき	潮流、潮時	
賃	チン		13	貝,かい,こがい		ちんぎん、やちん、ちんたい	賃金、家賃、賃貸	
痛	ツウ	いた(い)、いた(む)、いた(める)	12	疒,やまいだれ		ずつう、ふくつう、きんにくつう、ようつう	頭痛、腹痛、筋肉痛、腰痛	
展	テン		10	尸,しかばね		てんらんかい、てんかい、はってん、てんじ	展覧会、展開、発展、展示	
討	トウ	う(つ)	10	訁,ごんべん		けんとう、とうぎ、とうろん、とうばつ	検討、討議、討論、討伐	
党	トウ		10	儿,ひとあし		しんとう、せいとう、やとう、よとう	新党、政党、野党、与党	
糖	トウ		16	米,こめ		さとう、とうぶん、とうにょうびょう	砂糖、糖分、糖尿病	
届		とど(く)、とど(ける)	8	尸,しかばね		とどけ、とどけさき	届け、届け先	
難	ナン	むずか(しい)、かた(い)	18	隹,ふるとり		なんみん、なんいど、なんもん	難民、難易度、難問	
乳	ニュウ	ちち、ち	8	乚,おつにょう		にゅうじ、ぎゅうにゅう、ちくび、にゅうせいひん	乳児、牛乳、乳首、乳製品	
認	ニン	みと(める)	14	訁,ごんべん		にんしき、しょうにん、かくにん	認識、承認、確認	
納	ノウ、トウ、ナッ、ナ、ナン	おさ(まる)、おさ(める)	10	糹,いとへん		のうぜい、なっとう、なっとく	納税、納豆、納得	
脳	ノウ		11	月,にくづき		のう、ずのう、しゅのう、のうは	脳、頭脳、首脳、脳波	
派	ハ		9	氵,さんずい		はけん、はばつ、はけん、はで	派遣、派閥、派遣、派手	
拝	ハイ	おが(む)	8	扌,てへん		はいけい、はいけん、すうはい	拝啓、拝見、崇拝	
背	ハイ	せ、せい、そむ(く)、そむ(ける)	9	月,にくづき		せなか、はいけい、せびろ、せぼね	背中、背景、背広、背骨	
肺	ハイ		9	月,にくづき		はい、はいえん、はいぞう	肺、肺炎、肺臓	
俳	ハイ		10	亻,にんべん		はいく、はいゆう、はいじん	俳句、俳優、俳人	
班	ハン		10	王,おう		はん[チーム]、はんちょう、はんいん	班、班長、班員	
晩	バン		12	日,ひへん		こんばん、さくばん、まいばん	今晩、昨晩、毎晩	
否	ヒ	いな	7	口,くち		ひてい、きょひ、ひけつ	否定、拒否、否決	
批	ヒ		7	扌,てへん		ひはん、ひひょう、じこひはん	批判、批評、自己批判	
秘	ヒ	ひ(める)	10	禾,のぎへん		ひみつ、ひしょ、ひけつ、ごくひ	秘密、秘書、秘訣、極秘	
腹	フク	はら、(お)なか	13	月,にくづき		くうふく、ふくつう、ふくぶ	空腹、腹痛、腹部	
奮	フン	ふる(う)	16	大,だい		こうふん、ふんぱつ、ふんとう	興奮、奮発、奮闘	
並	ヘイ	なら(ぶ)、なみ、なら(べる)	8	一,いち		へいれつ、へいこう、ひとなみ	並列、平行、人並み	
陛	カイ		12	阜阝,こざとへん		だんかい、かいだん、かいそう	段階、階段、階層	
閉	ヘイ	し(める)、し(まる)、と(じる)、とざす	11	門,もんがまえ		へいさ、へいてん、へいかん	閉鎖、閉店、閉館	
片	ヘン	かた	4	片,かたへん		かたて、かたみち、かたかな、かたおもい	片手、片道、片仮名、片思い	
補	ホ	おぎな(う)	12	衤,ころもへん		こうほ、ほきゅう、ほじゅう、ほそく	候補、補給、補充、補足	
暮	ボ	く(れる)、く(らす)	14	日,ひ,にち		ひぐれ、ゆうぐれ、おせいぼ	日暮れ、夕暮れ、お歳暮	
宝	ホウ	たから	8	宀,うかんむり		ほうせき、たからもの、たからくじ	宝石、宝物、宝籤	
訪	ホウ	たず(ねる)、おとず(れる)	11	訁,ごんべん		ほうもん、らいほう	訪問、来訪	
亡	ボウ、モウ	な(くなる)	3	亠,なべぶた		しぼう、めつぼう、なきがら	死亡、滅亡、亡骸	
忘	ボウ	わす(れる)	7	心,こころ		ぼうねんかい、わすれもの	忘年会、忘れ物	
棒	ボウ		12	木,きへん		てつぼう、どろぼう、ようじんぼう、けいぼう	鉄棒、泥棒、用心棒、警棒	
枚	マイ		8	木,きへん		～まい、いちまい、にまい、まいすう	～枚、一枚、二枚、枚数	
幕	バク、マク		13	巾,はば		かいまく、ばくふ、ばくまつ	開幕、幕府、幕末	
密	ミツ	ひそ(かに)	11	宀,うかんむり		ひみつ、みっしゅう、みつど、げんみつ	秘密、密集、密度、厳密	
盟	メイ		13	皿,さら		かめい、どうめい、れんめい	かめい、どうめい、れんめい	
模	ボ、モ		14	木,きへん		きぼ、もけい、もはん、もよう	規模、模型、模範、模様	
訳	ヤク	わけ、やく(す)	11	訁,ごんべん		つうやく、ほんやく、もうしわけ、ちょくやく	通訳、翻訳、申し訳、直訳	
郵	ユウ		11	阝,おおざと		ゆうそう、ゆうびん、ゆうちょ	郵送、郵便、郵貯	
優	ユウ	すぐ(れる)、やさ(しい)	17	亻,にんべん		ゆうしょう、ゆうしゅう、ゆうせん、ゆうとうせい	優勝、優秀、優先、優等生	
幼	ヨウ	おさな(い)	5	ㄠ,よう		ようじ、ようちえん、おさななじみ	幼児、幼稚園、幼馴染	
欲	ヨク	ほ(しい)、ほ(っする)	11	欠,あくび,かける		いよく、よくぼう、よっきゅう、しょくよく	意欲、欲望、欲求、食欲	
翌	ヨク		11	羽,はね		よくじつ、よくねん、よくあさ	翌日、翌年、翌朝	
乱	ラン	みだ(す)、みだ(れる)	7	乚,おつにょう		こんらん、らんぼう、はんらん	混乱、乱暴、反乱	
卵	ラン	たまご	7	卩㔾,わりふ,ふひづくり		らんし、らんおう、らんぱく	卵子、卵黄、卵白	
覧	ラン		17	見,みる		えつらん、てんらんかい、いちらん、ごらん	閲覧、展覧会、一覧、御覧	
裏	リ	うら	13	衣,ころも		うらおもて、うらぎる、うらがえし	裏表、裏切る、裏返し	
律	リツ、リチ		9	彳,ぎょうにんべん		ほうりつ、きりつ、せんりつ、じりつ	法律、規律、旋律、自律	
臨	リン	のぞ(む)	18	臣,しん		りんじ、りんかい、りんこく	臨時、臨海、隣国	
朗	ロウ	ほが(らか)	10	月,つき		ろうどく、めいろう	朗読、明朗	
論	ロン		15	訁,ごんべん		ろんぶん、ぎろん、けつろん、ろんり	論文、議論、結論、論理	
