漢字	音読み	訓読み	画数	部首	異体字	れい	例	
貸	タイ	か(す)	12	貝,こがい		かす(かりるのぎゃく)、たいしゃく、かしだし、ちんたい、かしきん	貸す、貸借、貸出、賃貸、貸金	
態	タイ		14	心,こころ		たいど、じょうたい、じたい、じったい、たいせい	態度、状態、事態、実態、態勢	
団	ダン、トン		6	囗,くにがまえ	團	だんたい、ふとん	団体、布団	
断	ダン	ことわ(る)、た(つ)	11	斤,おのづくり	斷	はんだん、だんげん、だんじて、おうだんほどう	判断、断言、断じて、横断歩道	
築	チク	きず(く)	16	𥫗,たけかんむり		けんちく、しんちく、こうちく、かいちく	建築、新築、構築、改築	
張	チョウ	は(る)	11	弓,ゆみへん		しゅっちょう、しゅちょう、かくちょう、がんばる、きんちょう、いばる	出張、主張、拡張、頑張る、緊張、威張る	
提	テイ	さ(げる)	12	扌,てへん		ていきょう、ていあん、ぜんてい、ていけい	提供、提案、前提、提携	
程	テイ	ほど	12	禾,のぎへん		ていど、あるていど、にってい、かてい、よほど、ほうていしき	程度、ある程度、日程、過程、余程、方程式	
適	テキ		14	辵辶⻌,しんにょう		てきど、てきとう、てきせつ、さいてき	適度、適当、適切、最適	
敵	テキ	かたき	15	攵,のぶん		てき、きょうてき、てんてき、てきい、むてき	敵、強敵、天敵、敵意、無敵	
統	トウ	す(べる)	12	糹,いとへん		だいとうりょう、とういつ、でんとう	大統領、統一、伝統	
銅	ドウ		14	釒,かねへん		どう(～・ぎん・きん)、どうか、どうぞう、どうたく(やよい)	銅、銅貨、銅像、銅鐸	
導	ドウ	みちび(く)	15	寸,すん		しどう、しどうしゃ、どうにゅう、しゅどう、ゆうどう	指導、指導者、導入、主導、誘導	
徳	トク		14	彳,ぎょうにんべん	德	しょうとくたいし、どうとく、はいとく	聖徳太子、道徳、背徳	
独	ドク	ひと(り)	9	犭,けものへん	獨	どくしん、どくじ、どくりつ、どくがく、どくとく	独身、独自、独立、独学、独特	
任	ニン	まか(す)、まか(せる)	6	亻,にんべん		にんむ、せきにん、じにん、にんい	任務、責任、辞任、任意	
燃	ネン	も(える)、も(す)、も(やす)	16	火,ひへん		ねんりょう、もえるゴミ	燃料、燃えるゴミ	
能	ノウ		10	月,にくづき		のうりょく、かのう、きのう、のうりつ	能力、可能、機能、能率	
破	ハ	やぶ(る)、やぶ(れる)	10	石,いしへん		はかい、はへん、はきょく、はき	破壊、破片、破局、破棄	
犯	ハン	おか(す)	5	犭,けものへん		はんこう、はんざい、はんにん、ぼうはん	犯行、犯罪、犯人、防犯	
判	ハン、バン		7	刂,りっとう		はんこ、はんだん、さいばん、ひはん	判子、判断、裁判、批判	
版	ハン		8	片,かたへん		しゅっぱん、げんぱん、しょはん、はんが	出版、原版、初版、版画	
比	ヒ	くら(べる)	4	比,くらべる		ひかく、ひりつ、ひゆ、たいひ	比較、比率、比喩、対比	
肥	ヒ	こえ、こ(える)、こ(やす)、こ(やし)	8	月,にくづき		ひまん、ひりょう	肥満、肥料	
非	ヒ		8	非,あらず,ひ		ひじょうに、ひなん、ぜひ、ひごうほう	非常に、非難、是非、非合法	
備	ビ	そな(える)、そな(わる)	12	亻,にんべん		そうび、せつび、じゅんび、せいび	装備、設備、準備、整備	
俵	ヒョウ	たわら	10	亻,にんべん		どひょう、たわらもの、ひょうすう、すみだわら	土俵、俵もの、俵数、炭俵	
評	ヒョウ		12	訁,ごんべん		ひょうか、ひょうばん、ひょうろん、ひひょう	評価、評判、評論、批評	
貧	ビン、ヒン	まず(しい)	11	貝,こがい		びんぼう、ひんけつ、ひんじゃく	貧乏、貧血、貧弱	
布	フ	ぬの	5	巾,はば		ふきん、ふとん、もうふ	付近、布団、毛布	
婦	フ		11	おんな,おんなへん		ふうふ、かせいふ、しゅふ、ふじん	夫婦、家政婦、主婦、婦人	
富	フ、フウ	とみ、と(む)	12	宀,うかんむり		ふじさん、ふしゃ、ほうふ	富士山、富者、豊富	
武	ブ、ム		8	止,とめる		ぶし、ぶしどう、ぶき、むしゃ、ぶどう	武士、武士道、武器、武者、武道	
復	フク		12	彳,ぎょうにんべん		おうふく、かいふく、ふっかつ、ふっき、ふくしゅう、ふっこう	往復、回復、復活、復帰、復習、復興	
複	フク		14	衤,ころもへん		ふくすう、ふくざつ、ふくせい	複数、複雑、複製	
仏	ブツ	ほとけ	4	亻,にんべん	佛	ふつ(フランス)、ぶっきょう、ぶつぞう	仏、仏教、仏像	
編	ヘン	あ(む)	15	糹,いとへん		へんしゅう、へんせい、あみもの、へんしゃ	編集、編成、編み物、編者	
弁	ベン		5	廾,にじゅうあし,こまぬき	瓣、辯、辨	べんごし、べんかい、べんとう	弁護士、弁解、弁当	
保	ホ	たも(つ)	9	亻,にんべん		ほけん、ほご、あんぽ、かくほ、ほかん	保険、保護、安保、確保、保管	
墓	ボ	はか	13	土,つち		ぼち、はかまいり、ぼせき、ぼひ、はかば	墓地、墓参り、墓石、墓碑、墓場	
報	ホウ	むく(いる)、むく(われる)	12	土,つち		じょうほう、ほうこく、ほうどう、ほうしゅう	情報、報告、報道、報酬	
豊	ホウ	ゆた(か)	13	豆,まめ	豐	ほうふ、けいけんほうふ、しゅるいほうふ	豊富、経験豊富、種類豊富	
防	ボウ	ふせ(ぐ)	7	阜阝,こざとへん		ぼうぎょ、ぼうえい、ぼうし、ぼうおん、ぼうか	防御、防衛、防止、防音、防火	
貿	ボウ		12	貝,こがい		ぼうえき	貿易	
暴	ボウ、バク	あば(れる)、あば(く)	15	日,ひ		ぼうりょく、ばくろ、ぼうとう、ぼうこう	暴力、暴露、暴投、暴行	
務	ム	つと(まる)、つと(める)	11	力,ちから		じむしょ、がいむしょう、ぎむ	事務所、外務省、義務	
夢	ム	ゆめ	13	夕,ゆうべ	梦(中)	むそう、むちゅう、あくむ	夢想、夢中、悪夢	
迷	メイ	まよ(う)	9	辵辶⻌,しんにょう		まいご、めいしん、めいろ、めいわく、めいきゅう	迷子、迷信、迷路、迷惑、迷宮	
綿	メン	わた	14	糹,いとへん		もめん、わたあめ	木綿、綿飴	
輸	ユ		16	車,くるまへん		ゆにゅう、ゆしゅつ、ゆそう、ゆけつ	輸入、輸出、輸送、輸血	
余	ヨ	あま(る)。あま(す)	7	亻,にんべん	餘	よけい、よほど、よゆう	余計、余程、余裕	
預	ヨ	あず(かる)、あず(ける)	13	頁,おおがい		よきん	預金	
容	ヨウ		10	宀,うかんむり		ないよう、ようぎしゃ、ようい、ようき、ようしゃなく	内容、容疑者、容易、容器、容赦なく	
略	リャク		11	田,たへん		りゃくご、しょうりゃく、ぜんりゃく、しんりゃく	略語、省略、前略、侵略	
留	リュウ、ル	と(まる)、と(める)	10	田,た		りゅうがく、るすばん、りゅうねん、ざいりゅう	留学、留守番、留年、在留	
領	リョウ		14	頁,おおがい		りょうしゅうしょ、りょうど、だいとうりょう	領収書、領土、大統領	
異	イ	こと	11	田,た		ことなる、いせい、いじょう、いたん	異なる、異性、異常、異端	
遺	イ、ユイ		15	辵辶⻌,しんにょう		ゆいごん、いさん、いせき、いぞく、いたい、いでん	遺言、遺産、遺跡、遺族、遺体、遺伝	
域	イキ		11	土,つちへん		ちいき、りょういき	地域、領域	
宇	ウ		6	宀,うかんむり		うちゅう、うちゅうせん、うちゅうじん	宇宙、宇宙船、宇宙人	
映	エイ	うつ(す)、うつ(る)、は(える)	9	日,ひへん		えいが、えいぞう、ほうえい	映画、映像、放映	
延	エン	の(ばす)、の(びる)、の(べる)	8	廴,えんにょう		えんちょう、えんき	延長、延期	
