漢字	訓読み	音読み				
私		わたし				
人	ジン	ひと				
方		かた				
日	ニチ					
本	ホン					
先	セン					
生	セイ					
教	キョウ					
師	シ					
学	ガク					
会	カイ					
社	シャ					
員	イン					
銀	ギン					
行	コウ					
医	イ					
者	シャ					
研	ケン					
究	キュウ					
大	ダイ					
病	ビョウ					
院	イン					
誰		だれ				
歳	サイ					
何		なん、なに				
初		はじ(めまして)				
